Elapsed [1:28:43], Iteration [52000/1000000], G/loss_id: 3.9770, G/loss_id_psnt: 3.9662, G/loss_cd: 0.0385, mvg_avg: 0.0362
Elapsed [1:29:35], Iteration [52500/1000000], G/loss_id: 4.7097, G/loss_id_psnt: 4.6971, G/loss_cd: 0.0383, mvg_avg: 0.0357
Elapsed [1:30:27], Iteration [53000/1000000], G/loss_id: 4.9005, G/loss_id_psnt: 4.8904, G/loss_cd: 0.0353, mvg_avg: 0.0365
Elapsed [1:31:20], Iteration [53500/1000000], G/loss_id: 3.4346, G/loss_id_psnt: 3.4221, G/loss_cd: 0.0350, mvg_avg: 0.0358
Elapsed [1:32:13], Iteration [54000/1000000], G/loss_id: 3.2836, G/loss_id_psnt: 3.2910, G/loss_cd: 0.0334, mvg_avg: 0.0348
Elapsed [1:33:06], Iteration [54500/1000000], G/loss_id: 5.6816, G/loss_id_psnt: 5.6803, G/loss_cd: 0.0414, mvg_avg: 0.0353
Elapsed [1:34:00], Iteration [55000/1000000], G/loss_id: 3.8616, G/loss_id_psnt: 3.8729, G/loss_cd: 0.0336, mvg_avg: 0.0352
Elapsed [1:34:53], Iteration [55500/1000000], G/loss_id: 3.8876, G/loss_id_psnt: 3.8855, G/loss_cd: 0.0412, mvg_avg: 0.0369
Elapsed [1:35:47], Iteration [56000/1000000], G/loss_id: 3.0696, G/loss_id_psnt: 3.0724, G/loss_cd: 0.0273, mvg_avg: 0.0353
Elapsed [1:36:40], Iteration [56500/1000000], G/loss_id: 2.4443, G/loss_id_psnt: 2.4257, G/loss_cd: 0.0325, mvg_avg: 0.0368
Elapsed [1:37:33], Iteration [57000/1000000], G/loss_id: 4.6826, G/loss_id_psnt: 4.6738, G/loss_cd: 0.0343, mvg_avg: 0.0358
Elapsed [1:38:25], Iteration [57500/1000000], G/loss_id: 3.1147, G/loss_id_psnt: 3.1153, G/loss_cd: 0.0324, mvg_avg: 0.0367
Elapsed [1:39:19], Iteration [58000/1000000], G/loss_id: 4.2802, G/loss_id_psnt: 4.2812, G/loss_cd: 0.0317, mvg_avg: 0.0354
Elapsed [1:40:11], Iteration [58500/1000000], G/loss_id: 3.3682, G/loss_id_psnt: 3.3608, G/loss_cd: 0.0345, mvg_avg: 0.0347
Elapsed [1:41:02], Iteration [59000/1000000], G/loss_id: 2.7939, G/loss_id_psnt: 2.7811, G/loss_cd: 0.0282, mvg_avg: 0.0344
Elapsed [1:41:53], Iteration [59500/1000000], G/loss_id: 5.9684, G/loss_id_psnt: 5.9616, G/loss_cd: 0.0476, mvg_avg: 0.0350
Elapsed [1:42:46], Iteration [60000/1000000], G/loss_id: 4.3235, G/loss_id_psnt: 4.3262, G/loss_cd: 0.0332, mvg_avg: 0.0353
Elapsed [1:43:40], Iteration [60500/1000000], G/loss_id: 5.8936, G/loss_id_psnt: 5.8967, G/loss_cd: 0.0367, mvg_avg: 0.0341
Elapsed [1:44:34], Iteration [61000/1000000], G/loss_id: 3.7235, G/loss_id_psnt: 3.7267, G/loss_cd: 0.0382, mvg_avg: 0.0348
Elapsed [1:45:25], Iteration [61500/1000000], G/loss_id: 4.7084, G/loss_id_psnt: 4.7083, G/loss_cd: 0.0391, mvg_avg: 0.0353
Elapsed [1:46:16], Iteration [62000/1000000], G/loss_id: 2.5472, G/loss_id_psnt: 2.5378, G/loss_cd: 0.0317, mvg_avg: 0.0357
Elapsed [1:47:07], Iteration [62500/1000000], G/loss_id: 2.9998, G/loss_id_psnt: 2.9887, G/loss_cd: 0.0275, mvg_avg: 0.0344
Elapsed [1:47:58], Iteration [63000/1000000], G/loss_id: 4.0927, G/loss_id_psnt: 4.0846, G/loss_cd: 0.0359, mvg_avg: 0.0351
Elapsed [1:48:49], Iteration [63500/1000000], G/loss_id: 4.6707, G/loss_id_psnt: 4.6776, G/loss_cd: 0.0402, mvg_avg: 0.0351
Elapsed [1:49:40], Iteration [64000/1000000], G/loss_id: 6.9217, G/loss_id_psnt: 6.9126, G/loss_cd: 0.0410, mvg_avg: 0.0348
Elapsed [1:50:32], Iteration [64500/1000000], G/loss_id: 6.8617, G/loss_id_psnt: 6.8532, G/loss_cd: 0.0417, mvg_avg: 0.0338
Elapsed [1:51:22], Iteration [65000/1000000], G/loss_id: 2.6703, G/loss_id_psnt: 2.6533, G/loss_cd: 0.0293, mvg_avg: 0.0339
Elapsed [1:52:14], Iteration [65500/1000000], G/loss_id: 3.0718, G/loss_id_psnt: 3.0737, G/loss_cd: 0.0293, mvg_avg: 0.0331
Elapsed [1:53:05], Iteration [66000/1000000], G/loss_id: 3.8823, G/loss_id_psnt: 3.8867, G/loss_cd: 0.0287, mvg_avg: 0.0339
Elapsed [1:53:57], Iteration [66500/1000000], G/loss_id: 4.1775, G/loss_id_psnt: 4.1618, G/loss_cd: 0.0322, mvg_avg: 0.0339
Elapsed [1:54:50], Iteration [67000/1000000], G/loss_id: 3.2014, G/loss_id_psnt: 3.1951, G/loss_cd: 0.0348, mvg_avg: 0.0333
Elapsed [1:55:43], Iteration [67500/1000000], G/loss_id: 3.7629, G/loss_id_psnt: 3.7627, G/loss_cd: 0.0301, mvg_avg: 0.0340
Elapsed [1:56:34], Iteration [68000/1000000], G/loss_id: 6.6073, G/loss_id_psnt: 6.6137, G/loss_cd: 0.0392, mvg_avg: 0.0332
Elapsed [1:57:28], Iteration [68500/1000000], G/loss_id: 5.3244, G/loss_id_psnt: 5.3251, G/loss_cd: 0.0313, mvg_avg: 0.0335
Elapsed [1:58:21], Iteration [69000/1000000], G/loss_id: 3.1298, G/loss_id_psnt: 3.1157, G/loss_cd: 0.0312, mvg_avg: 0.0330
Elapsed [1:59:14], Iteration [69500/1000000], G/loss_id: 9.8257, G/loss_id_psnt: 9.8107, G/loss_cd: 0.0388, mvg_avg: 0.0341
Elapsed [2:00:07], Iteration [70000/1000000], G/loss_id: 3.5001, G/loss_id_psnt: 3.4974, G/loss_cd: 0.0287, mvg_avg: 0.0342
Elapsed [2:01:00], Iteration [70500/1000000], G/loss_id: 2.4963, G/loss_id_psnt: 2.4917, G/loss_cd: 0.0294, mvg_avg: 0.0346
Elapsed [2:01:53], Iteration [71000/1000000], G/loss_id: 5.2623, G/loss_id_psnt: 5.2634, G/loss_cd: 0.0321, mvg_avg: 0.0334
Elapsed [2:02:45], Iteration [71500/1000000], G/loss_id: 5.0692, G/loss_id_psnt: 5.0549, G/loss_cd: 0.0408, mvg_avg: 0.0332
Elapsed [2:03:36], Iteration [72000/1000000], G/loss_id: 5.1518, G/loss_id_psnt: 5.1458, G/loss_cd: 0.0337, mvg_avg: 0.0327
Elapsed [2:04:29], Iteration [72500/1000000], G/loss_id: 8.4528, G/loss_id_psnt: 8.4518, G/loss_cd: 0.0397, mvg_avg: 0.0330
Elapsed [2:05:22], Iteration [73000/1000000], G/loss_id: 5.3630, G/loss_id_psnt: 5.3708, G/loss_cd: 0.0326, mvg_avg: 0.0337
Elapsed [2:06:15], Iteration [73500/1000000], G/loss_id: 3.2876, G/loss_id_psnt: 3.2870, G/loss_cd: 0.0322, mvg_avg: 0.0326
Elapsed [2:07:08], Iteration [74000/1000000], G/loss_id: 2.3044, G/loss_id_psnt: 2.3093, G/loss_cd: 0.0264, mvg_avg: 0.0329
Elapsed [2:08:00], Iteration [74500/1000000], G/loss_id: 2.4493, G/loss_id_psnt: 2.4527, G/loss_cd: 0.0302, mvg_avg: 0.0330
